radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	174645	|	0.707	|	0.707	|	1.0
	174660	|	0.5	|	0.866	|	1.732
	174675	|	0.259	|	0.966	|	3.732
	174690	|	0.0	|	1.0	|	 UN 
	174705	|	-0.259	|	0.966	|	-3.732
	174720	|	-0.5	|	0.866	|	-1.732
	174735	|	-0.707	|	0.707	|	-1.0
	174750	|	-0.866	|	0.5	|	-0.577
	174765	|	-0.966	|	0.259	|	-0.268
	174780	|	-1.0	|	0.0	|	0.0
	174795	|	-0.966	|	-0.259	|	0.268
	174810	|	-0.866	|	-0.5	|	0.577
	174825	|	-0.707	|	-0.707	|	1.0
	174840	|	-0.5	|	-0.866	|	1.732
	174855	|	-0.259	|	-0.966	|	3.732
	174870	|	0.0	|	-1.0	|	 UN 
	174885	|	0.259	|	-0.966	|	-3.732
	174900	|	0.5	|	-0.866	|	-1.732
	174915	|	0.707	|	-0.707	|	-1.0
	174930	|	0.866	|	-0.5	|	-0.577
	174945	|	0.966	|	-0.259	|	-0.268
	174960	|	1.0	|	0.0	|	0.0
	174975	|	0.966	|	0.259	|	0.268
	174990	|	0.866	|	0.5	|	0.577
	175005	|	0.707	|	0.707	|	1.0
	175020	|	0.5	|	0.866	|	1.732
	175035	|	0.259	|	0.966	|	3.732
	175050	|	0.0	|	1.0	|	 UN 
	175065	|	-0.259	|	0.966	|	-3.732
	175080	|	-0.5	|	0.866	|	-1.732
	175095	|	-0.707	|	0.707	|	-1.0
	175110	|	-0.866	|	0.5	|	-0.577
	175125	|	-0.966	|	0.259	|	-0.268
	175140	|	-1.0	|	0.0	|	0.0
	175155	|	-0.966	|	-0.259	|	0.268
	175170	|	-0.866	|	-0.5	|	0.577
	175185	|	-0.707	|	-0.707	|	1.0
	175200	|	-0.5	|	-0.866	|	1.732
	175215	|	-0.259	|	-0.966	|	3.732
	175230	|	0.0	|	-1.0	|	 UN 
	175245	|	0.259	|	-0.966	|	-3.732
	175260	|	0.5	|	-0.866	|	-1.732
	175275	|	0.707	|	-0.707	|	-1.0
	175290	|	0.866	|	-0.5	|	-0.577
	175305	|	0.966	|	-0.259	|	-0.268
	175320	|	1.0	|	0.0	|	0.0
	175335	|	0.966	|	0.259	|	0.268
	175350	|	0.866	|	0.5	|	0.577
	175365	|	0.707	|	0.707	|	1.0
	175380	|	0.5	|	0.866	|	1.732
	175395	|	0.259	|	0.966	|	3.732
	175410	|	0.0	|	1.0	|	 UN 
	175425	|	-0.259	|	0.966	|	-3.732
	175440	|	-0.5	|	0.866	|	-1.732
	175455	|	-0.707	|	0.707	|	-1.0
	175470	|	-0.866	|	0.5	|	-0.577
	175485	|	-0.966	|	0.259	|	-0.268
	175500	|	-1.0	|	0.0	|	0.0
	175515	|	-0.966	|	-0.259	|	0.268
	175530	|	-0.866	|	-0.5	|	0.577
	175545	|	-0.707	|	-0.707	|	1.0
	175560	|	-0.5	|	-0.866	|	1.732
	175575	|	-0.259	|	-0.966	|	3.732
	175590	|	0.0	|	-1.0	|	 UN 
	175605	|	0.259	|	-0.966	|	-3.732
	175620	|	0.5	|	-0.866	|	-1.732
	175635	|	0.707	|	-0.707	|	-1.0
	175650	|	0.866	|	-0.5	|	-0.577
	175665	|	0.966	|	-0.259	|	-0.268
	175680	|	1.0	|	0.0	|	0.0
	175695	|	0.966	|	0.259	|	0.268
	175710	|	0.866	|	0.5	|	0.577
	175725	|	0.707	|	0.707	|	1.0
	175740	|	0.5	|	0.866	|	1.732
	175755	|	0.259	|	0.966	|	3.732
	175770	|	0.0	|	1.0	|	 UN 
	175785	|	-0.259	|	0.966	|	-3.732
	175800	|	-0.5	|	0.866	|	-1.732
	175815	|	-0.707	|	0.707	|	-1.0
	175830	|	-0.866	|	0.5	|	-0.577
	175845	|	-0.966	|	0.259	|	-0.268
	175860	|	-1.0	|	0.0	|	0.0
	175875	|	-0.966	|	-0.259	|	0.268
	175890	|	-0.866	|	-0.5	|	0.577
	175905	|	-0.707	|	-0.707	|	1.0
	175920	|	-0.5	|	-0.866	|	1.732
	175935	|	-0.259	|	-0.966	|	3.732
	175950	|	0.0	|	-1.0	|	 UN 
	175965	|	0.259	|	-0.966	|	-3.732
	175980	|	0.5	|	-0.866	|	-1.732
	175995	|	0.707	|	-0.707	|	-1.0
	176010	|	0.866	|	-0.5	|	-0.577
	176025	|	0.966	|	-0.259	|	-0.268
	176040	|	1.0	|	0.0	|	0.0
	176055	|	0.966	|	0.259	|	0.268
	176070	|	0.866	|	0.5	|	0.577
	176085	|	0.707	|	0.707	|	1.0
	176100	|	0.5	|	0.866	|	1.732
	176115	|	0.259	|	0.966	|	3.732
	176130	|	0.0	|	1.0	|	 UN 
	176145	|	-0.259	|	0.966	|	-3.732
	176160	|	-0.5	|	0.866	|	-1.732
	176175	|	-0.707	|	0.707	|	-1.0
	176190	|	-0.866	|	0.5	|	-0.577
	176205	|	-0.966	|	0.259	|	-0.268
	176220	|	-1.0	|	0.0	|	0.0
	176235	|	-0.966	|	-0.259	|	0.268
	176250	|	-0.866	|	-0.5	|	0.577
	176265	|	-0.707	|	-0.707	|	1.0
	176280	|	-0.5	|	-0.866	|	1.732
	176295	|	-0.259	|	-0.966	|	3.732
	176310	|	0.0	|	-1.0	|	 UN 
	176325	|	0.259	|	-0.966	|	-3.732
	176340	|	0.5	|	-0.866	|	-1.732
	176355	|	0.707	|	-0.707	|	-1.0
	176370	|	0.866	|	-0.5	|	-0.577
	176385	|	0.966	|	-0.259	|	-0.268
	176400	|	1.0	|	0.0	|	0.0
	176415	|	0.966	|	0.259	|	0.268
	176430	|	0.866	|	0.5	|	0.577
	176445	|	0.707	|	0.707	|	1.0
	176460	|	0.5	|	0.866	|	1.732
	176475	|	0.259	|	0.966	|	3.732
	176490	|	0.0	|	1.0	|	 UN 
	176505	|	-0.259	|	0.966	|	-3.732
	176520	|	-0.5	|	0.866	|	-1.732
	176535	|	-0.707	|	0.707	|	-1.0
	176550	|	-0.866	|	0.5	|	-0.577
	176565	|	-0.966	|	0.259	|	-0.268
	176580	|	-1.0	|	0.0	|	0.0
	176595	|	-0.966	|	-0.259	|	0.268
	176610	|	-0.866	|	-0.5	|	0.577
	176625	|	-0.707	|	-0.707	|	1.0
	176640	|	-0.5	|	-0.866	|	1.732
	176655	|	-0.259	|	-0.966	|	3.732
	176670	|	0.0	|	-1.0	|	 UN 
	176685	|	0.259	|	-0.966	|	-3.732
	176700	|	0.5	|	-0.866	|	-1.732
	176715	|	0.707	|	-0.707	|	-1.0
	176730	|	0.866	|	-0.5	|	-0.577
	176745	|	0.966	|	-0.259	|	-0.268
	176760	|	1.0	|	0.0	|	0.0
	176775	|	0.966	|	0.259	|	0.268
	176790	|	0.866	|	0.5	|	0.577
	176805	|	0.707	|	0.707	|	1.0
	176820	|	0.5	|	0.866	|	1.732
	176835	|	0.259	|	0.966	|	3.732
	176850	|	0.0	|	1.0	|	 UN 
	176865	|	-0.259	|	0.966	|	-3.732
	176880	|	-0.5	|	0.866	|	-1.732
	176895	|	-0.707	|	0.707	|	-1.0
	176910	|	-0.866	|	0.5	|	-0.577
	176925	|	-0.966	|	0.259	|	-0.268
	176940	|	-1.0	|	0.0	|	0.0
	176955	|	-0.966	|	-0.259	|	0.268
	176970	|	-0.866	|	-0.5	|	0.577
	176985	|	-0.707	|	-0.707	|	1.0
	177000	|	-0.5	|	-0.866	|	1.732
	177015	|	-0.259	|	-0.966	|	3.732
	177030	|	0.0	|	-1.0	|	 UN 
	177045	|	0.259	|	-0.966	|	-3.732
	177060	|	0.5	|	-0.866	|	-1.732
	177075	|	0.707	|	-0.707	|	-1.0
	177090	|	0.866	|	-0.5	|	-0.577
	177105	|	0.966	|	-0.259	|	-0.268
	177120	|	1.0	|	0.0	|	0.0
	177135	|	0.966	|	0.259	|	0.268
	177150	|	0.866	|	0.5	|	0.577
	177165	|	0.707	|	0.707	|	1.0
	177180	|	0.5	|	0.866	|	1.732
	177195	|	0.259	|	0.966	|	3.732
	177210	|	0.0	|	1.0	|	 UN 
	177225	|	-0.259	|	0.966	|	-3.732
	177240	|	-0.5	|	0.866	|	-1.732
	177255	|	-0.707	|	0.707	|	-1.0
	177270	|	-0.866	|	0.5	|	-0.577
	177285	|	-0.966	|	0.259	|	-0.268
	177300	|	-1.0	|	0.0	|	0.0
	177315	|	-0.966	|	-0.259	|	0.268
	177330	|	-0.866	|	-0.5	|	0.577
	177345	|	-0.707	|	-0.707	|	1.0
	177360	|	-0.5	|	-0.866	|	1.732
	177375	|	-0.259	|	-0.966	|	3.732
	177390	|	0.0	|	-1.0	|	 UN 
	177405	|	0.259	|	-0.966	|	-3.732
	177420	|	0.5	|	-0.866	|	-1.732
	177435	|	0.707	|	-0.707	|	-1.0
	177450	|	0.866	|	-0.5	|	-0.577
	177465	|	0.966	|	-0.259	|	-0.268
	177480	|	1.0	|	0.0	|	0.0
	177495	|	0.966	|	0.259	|	0.268
	177510	|	0.866	|	0.5	|	0.577
	177525	|	0.707	|	0.707	|	1.0
	177540	|	0.5	|	0.866	|	1.732
	177555	|	0.259	|	0.966	|	3.732
	177570	|	0.0	|	1.0	|	 UN 
	177585	|	-0.259	|	0.966	|	-3.732
	177600	|	-0.5	|	0.866	|	-1.732
	177615	|	-0.707	|	0.707	|	-1.0
	177630	|	-0.866	|	0.5	|	-0.577
	177645	|	-0.966	|	0.259	|	-0.268
	177660	|	-1.0	|	0.0	|	0.0
	177675	|	-0.966	|	-0.259	|	0.268
	177690	|	-0.866	|	-0.5	|	0.577
	177705	|	-0.707	|	-0.707	|	1.0
	177720	|	-0.5	|	-0.866	|	1.732
	177735	|	-0.259	|	-0.966	|	3.732
	177750	|	0.0	|	-1.0	|	 UN 
	177765	|	0.259	|	-0.966	|	-3.732
	177780	|	0.5	|	-0.866	|	-1.732
	177795	|	0.707	|	-0.707	|	-1.0
	177810	|	0.866	|	-0.5	|	-0.577
	177825	|	0.966	|	-0.259	|	-0.268
	177840	|	1.0	|	0.0	|	0.0
	177855	|	0.966	|	0.259	|	0.268
	177870	|	0.866	|	0.5	|	0.577
	177885	|	0.707	|	0.707	|	1.0
	177900	|	0.5	|	0.866	|	1.732
	177915	|	0.259	|	0.966	|	3.732
	177930	|	0.0	|	1.0	|	 UN 
	177945	|	-0.259	|	0.966	|	-3.732
	177960	|	-0.5	|	0.866	|	-1.732
	177975	|	-0.707	|	0.707	|	-1.0
	177990	|	-0.866	|	0.5	|	-0.577
	178005	|	-0.966	|	0.259	|	-0.268
	178020	|	-1.0	|	0.0	|	0.0
	178035	|	-0.966	|	-0.259	|	0.268
	178050	|	-0.866	|	-0.5	|	0.577
	178065	|	-0.707	|	-0.707	|	1.0
	178080	|	-0.5	|	-0.866	|	1.732
	178095	|	-0.259	|	-0.966	|	3.732
	178110	|	0.0	|	-1.0	|	 UN 
	178125	|	0.259	|	-0.966	|	-3.732
	178140	|	0.5	|	-0.866	|	-1.732
	178155	|	0.707	|	-0.707	|	-1.0
	178170	|	0.866	|	-0.5	|	-0.577
	178185	|	0.966	|	-0.259	|	-0.268
	178200	|	1.0	|	0.0	|	0.0
	178215	|	0.966	|	0.259	|	0.268
	178230	|	0.866	|	0.5	|	0.577
	178245	|	0.707	|	0.707	|	1.0
	178260	|	0.5	|	0.866	|	1.732
	178275	|	0.259	|	0.966	|	3.732
	178290	|	0.0	|	1.0	|	 UN 
	178305	|	-0.259	|	0.966	|	-3.732
	178320	|	-0.5	|	0.866	|	-1.732
	178335	|	-0.707	|	0.707	|	-1.0
	178350	|	-0.866	|	0.5	|	-0.577
	178365	|	-0.966	|	0.259	|	-0.268
	178380	|	-1.0	|	0.0	|	0.0
	178395	|	-0.966	|	-0.259	|	0.268
	178410	|	-0.866	|	-0.5	|	0.577
	178425	|	-0.707	|	-0.707	|	1.0
	178440	|	-0.5	|	-0.866	|	1.732
	178455	|	-0.259	|	-0.966	|	3.732
	178470	|	0.0	|	-1.0	|	 UN 
	178485	|	0.259	|	-0.966	|	-3.732
	178500	|	0.5	|	-0.866	|	-1.732
	178515	|	0.707	|	-0.707	|	-1.0
	178530	|	0.866	|	-0.5	|	-0.577
	178545	|	0.966	|	-0.259	|	-0.268
	178560	|	1.0	|	0.0	|	0.0
	178575	|	0.966	|	0.259	|	0.268
	178590	|	0.866	|	0.5	|	0.577
	178605	|	0.707	|	0.707	|	1.0
	178620	|	0.5	|	0.866	|	1.732
	178635	|	0.259	|	0.966	|	3.732
	178650	|	0.0	|	1.0	|	 UN 
	178665	|	-0.259	|	0.966	|	-3.732
	178680	|	-0.5	|	0.866	|	-1.732
	178695	|	-0.707	|	0.707	|	-1.0
	178710	|	-0.866	|	0.5	|	-0.577
	178725	|	-0.966	|	0.259	|	-0.268
	178740	|	-1.0	|	0.0	|	0.0
	178755	|	-0.966	|	-0.259	|	0.268
	178770	|	-0.866	|	-0.5	|	0.577
	178785	|	-0.707	|	-0.707	|	1.0
	178800	|	-0.5	|	-0.866	|	1.732
	178815	|	-0.259	|	-0.966	|	3.732
	178830	|	0.0	|	-1.0	|	 UN 
	178845	|	0.259	|	-0.966	|	-3.732
	178860	|	0.5	|	-0.866	|	-1.732
	178875	|	0.707	|	-0.707	|	-1.0
	178890	|	0.866	|	-0.5	|	-0.577
	178905	|	0.966	|	-0.259	|	-0.268
	178920	|	1.0	|	0.0	|	0.0
	178935	|	0.966	|	0.259	|	0.268
	178950	|	0.866	|	0.5	|	0.577
	178965	|	0.707	|	0.707	|	1.0
	178980	|	0.5	|	0.866	|	1.732
	178995	|	0.259	|	0.966	|	3.732
	179010	|	0.0	|	1.0	|	 UN 
	179025	|	-0.259	|	0.966	|	-3.732
	179040	|	-0.5	|	0.866	|	-1.732
	179055	|	-0.707	|	0.707	|	-1.0
	179070	|	-0.866	|	0.5	|	-0.577
	179085	|	-0.966	|	0.259	|	-0.268
	179100	|	-1.0	|	0.0	|	0.0
	179115	|	-0.966	|	-0.259	|	0.268
	179130	|	-0.866	|	-0.5	|	0.577
	179145	|	-0.707	|	-0.707	|	1.0
	179160	|	-0.5	|	-0.866	|	1.732
	179175	|	-0.259	|	-0.966	|	3.732
	179190	|	0.0	|	-1.0	|	 UN 
	179205	|	0.259	|	-0.966	|	-3.732
	179220	|	0.5	|	-0.866	|	-1.732
	179235	|	0.707	|	-0.707	|	-1.0
	179250	|	0.866	|	-0.5	|	-0.577
	179265	|	0.966	|	-0.259	|	-0.268
	179280	|	1.0	|	0.0	|	0.0
	179295	|	0.966	|	0.259	|	0.268
	179310	|	0.866	|	0.5	|	0.577
	179325	|	0.707	|	0.707	|	1.0
	179340	|	0.5	|	0.866	|	1.732
	179355	|	0.259	|	0.966	|	3.732
	179370	|	0.0	|	1.0	|	 UN 
	179385	|	-0.259	|	0.966	|	-3.732
	179400	|	-0.5	|	0.866	|	-1.732
	179415	|	-0.707	|	0.707	|	-1.0
	179430	|	-0.866	|	0.5	|	-0.577
	179445	|	-0.966	|	0.259	|	-0.268
	179460	|	-1.0	|	0.0	|	0.0
	179475	|	-0.966	|	-0.259	|	0.268
	179490	|	-0.866	|	-0.5	|	0.577
	179505	|	-0.707	|	-0.707	|	1.0
	179520	|	-0.5	|	-0.866	|	1.732
	179535	|	-0.259	|	-0.966	|	3.732
	179550	|	0.0	|	-1.0	|	 UN 
	179565	|	0.259	|	-0.966	|	-3.732
	179580	|	0.5	|	-0.866	|	-1.732
	179595	|	0.707	|	-0.707	|	-1.0
	179610	|	0.866	|	-0.5	|	-0.577
	179625	|	0.966	|	-0.259	|	-0.268
	179640	|	1.0	|	0.0	|	0.0
	179655	|	0.966	|	0.259	|	0.268
	179670	|	0.866	|	0.5	|	0.577
	179685	|	0.707	|	0.707	|	1.0
	179700	|	0.5	|	0.866	|	1.732
	179715	|	0.259	|	0.966	|	3.732
	179730	|	0.0	|	1.0	|	 UN 
	179745	|	-0.259	|	0.966	|	-3.732
	179760	|	-0.5	|	0.866	|	-1.732
	179775	|	-0.707	|	0.707	|	-1.0
	179790	|	-0.866	|	0.5	|	-0.577
	179805	|	-0.966	|	0.259	|	-0.268
	179820	|	-1.0	|	0.0	|	0.0
	179835	|	-0.966	|	-0.259	|	0.268
	179850	|	-0.866	|	-0.5	|	0.577
	179865	|	-0.707	|	-0.707	|	1.0
	179880	|	-0.5	|	-0.866	|	1.732
	179895	|	-0.259	|	-0.966	|	3.732
	179910	|	0.0	|	-1.0	|	 UN 
	179925	|	0.259	|	-0.966	|	-3.732
	179940	|	0.5	|	-0.866	|	-1.732
	179955	|	0.707	|	-0.707	|	-1.0
	179970	|	0.866	|	-0.5	|	-0.577
	179985	|	0.966	|	-0.259	|	-0.268
	180000	|	1.0	|	0.0	|	0.0
	180015	|	0.966	|	0.259	|	0.268
	180030	|	0.866	|	0.5	|	0.577
	180045	|	0.707	|	0.707	|	1.0
	180060	|	0.5	|	0.866	|	1.732
	180075	|	0.259	|	0.966	|	3.732
	180090	|	0.0	|	1.0	|	 UN 
	180105	|	-0.259	|	0.966	|	-3.732
	180120	|	-0.5	|	0.866	|	-1.732
	180135	|	-0.707	|	0.707	|	-1.0
	180150	|	-0.866	|	0.5	|	-0.577
	180165	|	-0.966	|	0.259	|	-0.268
	180180	|	-1.0	|	0.0	|	0.0
	180195	|	-0.966	|	-0.259	|	0.268
	180210	|	-0.866	|	-0.5	|	0.577
	180225	|	-0.707	|	-0.707	|	1.0
	180240	|	-0.5	|	-0.866	|	1.732
	180255	|	-0.259	|	-0.966	|	3.732
	180270	|	0.0	|	-1.0	|	 UN 
	180285	|	0.259	|	-0.966	|	-3.732
	180300	|	0.5	|	-0.866	|	-1.732
	180315	|	0.707	|	-0.707	|	-1.0
	180330	|	0.866	|	-0.5	|	-0.577
	180345	|	0.966	|	-0.259	|	-0.268
	180360	|	1.0	|	0.0	|	0.0
	180375	|	0.966	|	0.259	|	0.268
	180390	|	0.866	|	0.5	|	0.577
	180405	|	0.707	|	0.707	|	1.0
	180420	|	0.5	|	0.866	|	1.732
	180435	|	0.259	|	0.966	|	3.732
	180450	|	0.0	|	1.0	|	 UN 
	180465	|	-0.259	|	0.966	|	-3.732
	180480	|	-0.5	|	0.866	|	-1.732
	180495	|	-0.707	|	0.707	|	-1.0
	180510	|	-0.866	|	0.5	|	-0.577
	180525	|	-0.966	|	0.259	|	-0.268
	180540	|	-1.0	|	0.0	|	0.0
	180555	|	-0.966	|	-0.259	|	0.268
	180570	|	-0.866	|	-0.5	|	0.577
	180585	|	-0.707	|	-0.707	|	1.0
	180600	|	-0.5	|	-0.866	|	1.732
	180615	|	-0.259	|	-0.966	|	3.732
	180630	|	0.0	|	-1.0	|	 UN 
	180645	|	0.259	|	-0.966	|	-3.732
	180660	|	0.5	|	-0.866	|	-1.732
	180675	|	0.707	|	-0.707	|	-1.0
	180690	|	0.866	|	-0.5	|	-0.577
	180705	|	0.966	|	-0.259	|	-0.268
	180720	|	1.0	|	0.0	|	0.0
	180735	|	0.966	|	0.259	|	0.268
	180750	|	0.866	|	0.5	|	0.577
	180765	|	0.707	|	0.707	|	1.0
	180780	|	0.5	|	0.866	|	1.732
	180795	|	0.259	|	0.966	|	3.732
	180810	|	0.0	|	1.0	|	 UN 
	180825	|	-0.259	|	0.966	|	-3.732
	180840	|	-0.5	|	0.866	|	-1.732
	180855	|	-0.707	|	0.707	|	-1.0
	180870	|	-0.866	|	0.5	|	-0.577
	180885	|	-0.966	|	0.259	|	-0.268
	180900	|	-1.0	|	0.0	|	0.0
	180915	|	-0.966	|	-0.259	|	0.268
	180930	|	-0.866	|	-0.5	|	0.577
	180945	|	-0.707	|	-0.707	|	1.0
	180960	|	-0.5	|	-0.866	|	1.732
	180975	|	-0.259	|	-0.966	|	3.732
	180990	|	0.0	|	-1.0	|	 UN 
	181005	|	0.259	|	-0.966	|	-3.732
	181020	|	0.5	|	-0.866	|	-1.732
	181035	|	0.707	|	-0.707	|	-1.0
	181050	|	0.866	|	-0.5	|	-0.577
	181065	|	0.966	|	-0.259	|	-0.268
	181080	|	1.0	|	0.0	|	0.0
	181095	|	0.966	|	0.259	|	0.268
	181110	|	0.866	|	0.5	|	0.577
	181125	|	0.707	|	0.707	|	1.0
	181140	|	0.5	|	0.866	|	1.732
	181155	|	0.259	|	0.966	|	3.732
	181170	|	0.0	|	1.0	|	 UN 
	181185	|	-0.259	|	0.966	|	-3.732
	181200	|	-0.5	|	0.866	|	-1.732
	181215	|	-0.707	|	0.707	|	-1.0
	181230	|	-0.866	|	0.5	|	-0.577
	181245	|	-0.966	|	0.259	|	-0.268
	181260	|	-1.0	|	0.0	|	0.0
	181275	|	-0.966	|	-0.259	|	0.268
	181290	|	-0.866	|	-0.5	|	0.577
	181305	|	-0.707	|	-0.707	|	1.0
	181320	|	-0.5	|	-0.866	|	1.732
	181335	|	-0.259	|	-0.966	|	3.732
	181350	|	0.0	|	-1.0	|	 UN 
	181365	|	0.259	|	-0.966	|	-3.732
	181380	|	0.5	|	-0.866	|	-1.732
	181395	|	0.707	|	-0.707	|	-1.0
	181410	|	0.866	|	-0.5	|	-0.577
	181425	|	0.966	|	-0.259	|	-0.268
	181440	|	1.0	|	0.0	|	0.0
	181455	|	0.966	|	0.259	|	0.268
	181470	|	0.866	|	0.5	|	0.577
	181485	|	0.707	|	0.707	|	1.0
	181500	|	0.5	|	0.866	|	1.732
	181515	|	0.259	|	0.966	|	3.732
	181530	|	0.0	|	1.0	|	 UN 
	181545	|	-0.259	|	0.966	|	-3.732
	181560	|	-0.5	|	0.866	|	-1.732
	181575	|	-0.707	|	0.707	|	-1.0
	181590	|	-0.866	|	0.5	|	-0.577
	181605	|	-0.966	|	0.259	|	-0.268
	181620	|	-1.0	|	0.0	|	0.0
	181635	|	-0.966	|	-0.259	|	0.268
	181650	|	-0.866	|	-0.5	|	0.577
	181665	|	-0.707	|	-0.707	|	1.0
	181680	|	-0.5	|	-0.866	|	1.732
	181695	|	-0.259	|	-0.966	|	3.732
	181710	|	0.0	|	-1.0	|	 UN 
	181725	|	0.259	|	-0.966	|	-3.732
	181740	|	0.5	|	-0.866	|	-1.732
	181755	|	0.707	|	-0.707	|	-1.0
	181770	|	0.866	|	-0.5	|	-0.577
	181785	|	0.966	|	-0.259	|	-0.268
	181800	|	1.0	|	0.0	|	0.0
	181815	|	0.966	|	0.259	|	0.268
	181830	|	0.866	|	0.5	|	0.577
	181845	|	0.707	|	0.707	|	1.0
	181860	|	0.5	|	0.866	|	1.732
	181875	|	0.259	|	0.966	|	3.732
	181890	|	0.0	|	1.0	|	 UN 
	181905	|	-0.259	|	0.966	|	-3.732
	181920	|	-0.5	|	0.866	|	-1.732
	181935	|	-0.707	|	0.707	|	-1.0
	181950	|	-0.866	|	0.5	|	-0.577
	181965	|	-0.966	|	0.259	|	-0.268
	181980	|	-1.0	|	0.0	|	0.0
	181995	|	-0.966	|	-0.259	|	0.268
	182010	|	-0.866	|	-0.5	|	0.577
	182025	|	-0.707	|	-0.707	|	1.0
	182040	|	-0.5	|	-0.866	|	1.732
	182055	|	-0.259	|	-0.966	|	3.732
	182070	|	0.0	|	-1.0	|	 UN 
	182085	|	0.259	|	-0.966	|	-3.732
	182100	|	0.5	|	-0.866	|	-1.732
	182115	|	0.707	|	-0.707	|	-1.0
	182130	|	0.866	|	-0.5	|	-0.577
	182145	|	0.966	|	-0.259	|	-0.268
	182160	|	1.0	|	0.0	|	0.0
	182175	|	0.966	|	0.259	|	0.268
	182190	|	0.866	|	0.5	|	0.577
	182205	|	0.707	|	0.707	|	1.0
	182220	|	0.5	|	0.866	|	1.732
	182235	|	0.259	|	0.966	|	3.732
	182250	|	0.0	|	1.0	|	 UN 
	182265	|	-0.259	|	0.966	|	-3.732
	182280	|	-0.5	|	0.866	|	-1.732
	182295	|	-0.707	|	0.707	|	-1.0
	182310	|	-0.866	|	0.5	|	-0.577
	182325	|	-0.966	|	0.259	|	-0.268
	182340	|	-1.0	|	0.0	|	0.0
	182355	|	-0.966	|	-0.259	|	0.268
	182370	|	-0.866	|	-0.5	|	0.577
	182385	|	-0.707	|	-0.707	|	1.0
	182400	|	-0.5	|	-0.866	|	1.732
	182415	|	-0.259	|	-0.966	|	3.732
	182430	|	0.0	|	-1.0	|	 UN 
	182445	|	0.259	|	-0.966	|	-3.732
	182460	|	0.5	|	-0.866	|	-1.732
	182475	|	0.707	|	-0.707	|	-1.0
	182490	|	0.866	|	-0.5	|	-0.577
	182505	|	0.966	|	-0.259	|	-0.268
	182520	|	1.0	|	0.0	|	0.0
	182535	|	0.966	|	0.259	|	0.268
	182550	|	0.866	|	0.5	|	0.577
	182565	|	0.707	|	0.707	|	1.0
	182580	|	0.5	|	0.866	|	1.732
	182595	|	0.259	|	0.966	|	3.732
	182610	|	0.0	|	1.0	|	 UN 
	182625	|	-0.259	|	0.966	|	-3.732
	182640	|	-0.5	|	0.866	|	-1.732
	182655	|	-0.707	|	0.707	|	-1.0
	182670	|	-0.866	|	0.5	|	-0.577
	182685	|	-0.966	|	0.259	|	-0.268
	182700	|	-1.0	|	0.0	|	0.0
	182715	|	-0.966	|	-0.259	|	0.268
	182730	|	-0.866	|	-0.5	|	0.577
	182745	|	-0.707	|	-0.707	|	1.0
	182760	|	-0.5	|	-0.866	|	1.732
	182775	|	-0.259	|	-0.966	|	3.732
	182790	|	0.0	|	-1.0	|	 UN 
	182805	|	0.259	|	-0.966	|	-3.732
	182820	|	0.5	|	-0.866	|	-1.732
	182835	|	0.707	|	-0.707	|	-1.0
	182850	|	0.866	|	-0.5	|	-0.577
	182865	|	0.966	|	-0.259	|	-0.268
	182880	|	1.0	|	0.0	|	0.0
	182895	|	0.966	|	0.259	|	0.268
	182910	|	0.866	|	0.5	|	0.577
	182925	|	0.707	|	0.707	|	1.0
	182940	|	0.5	|	0.866	|	1.732
	182955	|	0.259	|	0.966	|	3.732
	182970	|	0.0	|	1.0	|	 UN 
	182985	|	-0.259	|	0.966	|	-3.732
	183000	|	-0.5	|	0.866	|	-1.732
	183015	|	-0.707	|	0.707	|	-1.0
	183030	|	-0.866	|	0.5	|	-0.577
	183045	|	-0.966	|	0.259	|	-0.268
	183060	|	-1.0	|	0.0	|	0.0
	183075	|	-0.966	|	-0.259	|	0.268
	183090	|	-0.866	|	-0.5	|	0.577
	183105	|	-0.707	|	-0.707	|	1.0
	183120	|	-0.5	|	-0.866	|	1.732
	183135	|	-0.259	|	-0.966	|	3.732
	183150	|	0.0	|	-1.0	|	 UN 
	183165	|	0.259	|	-0.966	|	-3.732
	183180	|	0.5	|	-0.866	|	-1.732
	183195	|	0.707	|	-0.707	|	-1.0
	183210	|	0.866	|	-0.5	|	-0.577
	183225	|	0.966	|	-0.259	|	-0.268
	183240	|	1.0	|	0.0	|	0.0
	183255	|	0.966	|	0.259	|	0.268
	183270	|	0.866	|	0.5	|	0.577
	183285	|	0.707	|	0.707	|	1.0
	183300	|	0.5	|	0.866	|	1.732
	183315	|	0.259	|	0.966	|	3.732
	183330	|	0.0	|	1.0	|	 UN 
	183345	|	-0.259	|	0.966	|	-3.732
	183360	|	-0.5	|	0.866	|	-1.732
	183375	|	-0.707	|	0.707	|	-1.0
	183390	|	-0.866	|	0.5	|	-0.577
	183405	|	-0.966	|	0.259	|	-0.268
	183420	|	-1.0	|	0.0	|	0.0
	183435	|	-0.966	|	-0.259	|	0.268
	183450	|	-0.866	|	-0.5	|	0.577
	183465	|	-0.707	|	-0.707	|	1.0
	183480	|	-0.5	|	-0.866	|	1.732
	183495	|	-0.259	|	-0.966	|	3.732
	183510	|	0.0	|	-1.0	|	 UN 
	183525	|	0.259	|	-0.966	|	-3.732
	183540	|	0.5	|	-0.866	|	-1.732
	183555	|	0.707	|	-0.707	|	-1.0
	183570	|	0.866	|	-0.5	|	-0.577
